[2025-04-10 13:39:46,402] - [MQTT][INFO][gRPC MQTT] - Server started on [::]:50057
[2025-04-10 13:39:53,965] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:39:54,738] - [MQTT][INFO] - Published
[2025-04-10 13:39:55,481] - [MQTT][INFO] - Published
[2025-04-10 13:39:56,243] - [MQTT][INFO] - Published
[2025-04-10 13:39:57,005] - [MQTT][INFO] - Published
[2025-04-10 13:39:57,542] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:39:57,829] - [MQTT][INFO] - Published
[2025-04-10 13:39:57,831] - [MQTT][INFO] - Sent mission data 1 to ThingsBoard
[2025-04-10 13:39:57,833] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:39:58,583] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:39:58,585] - [MQTT][INFO] - Published
[2025-04-10 13:39:59,657] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:39:59,659] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:40:00,412] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:40:00,415] - [MQTT][INFO] - Published
[2025-04-10 13:40:03,184] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:03,186] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:40:03,903] - [MQTT][INFO] - Published
[2025-04-10 13:40:07,455] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:07,456] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:40:07,480] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:40:07,482] - [MQTT][INFO] - Published
[2025-04-10 13:40:09,699] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:09,701] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:40:09,725] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:40:09,726] - [MQTT][INFO] - Published
[2025-04-10 13:40:13,188] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:13,190] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:40:13,194] - [MQTT][INFO] - Published
[2025-04-10 13:40:17,531] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:17,534] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:40:17,557] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:40:17,559] - [MQTT][INFO] - Published
[2025-04-10 13:40:19,689] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:19,692] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:40:19,715] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:40:19,717] - [MQTT][INFO] - Published
[2025-04-10 13:40:23,196] - [MQTT][INFO][gRPC MQTT] - Received data payload
