[2025-04-09 17:26:43,969] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:26:43,969] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:26:43,974] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:26:43,974] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:30:33,108] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 17:30:33,108] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 17:31:23,143] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:31:23,143] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:31:23,143] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:31:23,145] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:31:23,145] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:31:23,145] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:31:23,150] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:31:23,150] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:31:23,150] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:31:34,685] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:31:34,685] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:31:34,685] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:31:34,685] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:31:34,687] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:31:34,687] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:31:34,687] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:31:34,687] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:31:34,693] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:31:34,693] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:31:34,693] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:31:34,693] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:33:43,754] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 17:33:43,754] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 17:33:43,754] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 17:33:43,754] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 17:35:12,253] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 17:35:12,253] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 17:35:12,253] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 17:35:12,253] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 17:46:26,325] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:46:26,325] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:46:26,325] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:46:26,325] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:46:26,325] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:46:26,327] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:46:26,327] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:46:26,327] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:46:26,327] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:46:26,327] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:46:26,333] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:46:26,333] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:46:26,333] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
