[2025-07-29 12:06:59,584][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:06:59,589][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:06:59,589][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:06:59,600][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:06:59,600][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:15:07,006][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 12:15:07,006][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 12:39:59,439][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:39:59,439][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:39:59,439][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:39:59,446][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:39:59,446][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:39:59,446][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:39:59,458][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:39:59,458][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:39:59,458][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:42:00,888][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-29 12:42:04,732][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:42:04,732][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:42:04,735][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:42:04,735][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:42:04,744][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:42:04,744][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:46:49,535][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-29 12:46:55,038][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:46:55,038][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:46:55,041][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:46:55,041][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:46:55,053][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:46:55,053][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:56:19,393][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-29 12:56:23,728][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:56:23,728][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:56:23,732][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:56:23,732][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:56:23,742][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:56:23,742][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:58:20,335][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-29 12:58:23,950][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:58:23,950][REST][INFO][REST Server] - Received Mission
[2025-07-29 12:58:23,955][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:58:23,955][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 12:58:23,966][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 12:58:23,966][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 10:22:08,336][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-30 10:22:46,263][REST][INFO][REST Server] - Received Mission
[2025-07-30 10:22:46,263][REST][INFO][REST Server] - Received Mission
[2025-07-30 10:22:46,268][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 10:22:46,268][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 10:22:46,278][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 10:22:46,278][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 11:05:44,636][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-30 11:05:45,540][REST][INFO][REST Server] - Received Mission
[2025-07-30 11:05:45,540][REST][INFO][REST Server] - Received Mission
[2025-07-30 11:05:45,544][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 11:05:45,544][REST][INFO][gRPC REST] - Sending mission to Fleet Management
