[2026-03-12 12:39:11,691][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:39:12,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:39:12,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:39:21,728][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:39:22,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:39:22,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:39:31,765][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:39:32,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:39:32,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:39:41,802][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:39:42,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:39:42,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:39:51,839][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:39:52,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:39:52,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:40:01,875][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:40:02,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:40:02,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:40:12,012][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:40:12,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:40:12,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:40:22,049][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:40:22,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:40:22,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:40:32,086][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:40:32,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:40:32,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:40:42,123][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:40:42,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:40:42,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:40:52,156][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:40:52,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:40:52,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:41:02,189][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:41:02,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:41:02,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:41:12,222][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:41:12,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:41:12,474][Drone 3][INFO][State Vector] - State Vector sent
